houseid,description,price,bedrooms,bathrooms,floor_area,land_area,latitude,longitude,city,province
119,"For Sale 4BR 2-Storey House and Lot in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | Dani 99sqm",7315000.0,4.0,3.0,83.0,99.0,15.4710779,120.9821312,Emilio Vergara Hwy Santa Arcadia,Cabanatuan
120,"4BR Single Attached House and Lot for Sale in Mexico, Pampanga at Ajoya Pampanga",5278000.0,4.0,3.0,91.0,143.0,15.1262529,120.6580131,Eden,Mexico
121,"2BR Single Attached House and Lot for Sale in Mexico, Pampanga at Ajoya Pampanga",3970000.0,2.0,2.0,59.0,88.0,15.1262529,120.6580131,Eden,Mexico
122,"Austine Homes | Amber 2BR Townhouse for Sale in Mabalacat, Pampanga | Futura by Filinvest",1979000.0,2.0,1.0,40.4,43.2,15.2270079,120.5922007,Santa Maria,Mabalacat
123,"New Leaf | Diana 2BR SA House for Sale in Trece Martires, Cavite | Futura by Filinvest",3148800.0,2.0,1.0,37.3,70.0,14.3100648,120.8721289,The Wood Estates,Brgy. Hugo Perez
124,"5BR 2-Storey House and Lot for Sale in Subic, Zambales at Camella Subic | Ella w/ CB 158sqm",8434000.0,5.0,3.0,100.0,158.0,14.9131781,120.2282421,Aningway Sacatihan,Subic
125,"Ready For You: 2BR SA House and Lot for Sale in Mexico, Pampanga at Ajoya Pampanga at Php 31,975 monthly amortization",3979000.0,2.0,2.0,59.0,88.0,15.1262529,120.6580131,Eden,Mexico
126,"3-Bedroom House and Lot for Sale in Imus, Cavite at Lancaster New City | CHESSA Model",5978000.0,3.0,3.0,90.0,100.0,14.4084522,120.8964956,Alapan Ii-A,Imus
127,"For Sale 3-Bedroom 2-Storey House and Lot in Mabalacat, Pampanga at Talanai Homes | AGOHO",2706500.0,3.0,2.0,62.0,65.0,15.1987752,120.6026101,Sapang Biabas,Mabalacat
128,"4BR 2-Storey House and Lot for Sale in Subic, Zambales at Camella Subic | Dani w/ CB 217sqm",10501000.0,4.0,3.0,83.0,217.0,14.9131781,120.2282421,Aningway Sacatihan,Subic
129,"3-Bedroom House and Lot for Sale in General Trias, Cavite at Lancaster New City | GABRIELLE Model",6650000.0,3.0,2.0,84.0,120.0,14.3723207,120.8976745,Pasong Camachile I,General Trias
130,"3-Bedroom House and Lot for Sale in General Trias, Cavite at Lancaster New City | CHESSA Model",5978000.0,3.0,3.0,90.0,100.0,14.3723207,120.8976745,Pasong Camachile I,General Trias
131,"3BR House and Lot for Sale in Mexico, Pampanga | Parklane at The Lakeshore, Hyde",2705850.0,3.0,2.0,77.3,,15.0874959,120.6742393,San Rafael,Mexico
132,"BIG DISCOUNT (up to 500k)! For Sale 3-Bedroom Single Attached House and Lot at PTC Suncrest in Imus, Cavite | Rosanna Model",5234791.0,3.0,2.0,75.0,112.0,14.4289186,120.928888,Carsadang Bago I,Imus
